id,crime,unemp,pop
01100,25275,66258,1880863
01202,2793,12490,294264
01203,897,5131,142161
01204,3035,12922,355004
01205,657,3388,98372
01206,1456,7735,190478
01207,1573,4603,170580
01208,872,3881,129365
01209,47,425,13001
01210,796,2909,93677
01211,162,1152,42045
01212,131,734,26826
01213,1711,5143,172758
01214,235,1276,41592
01215,152,918,29083
01216,84,605,18899
01217,1202,3948,125601
01218,82,620,14401
01219,140,771,26632
01220,92,543,23411
01221,192,795,31628
01222,74,483,11927
01223,114,767,31202
01224,1181,2648,91437
01225,487,1367,45562
01226,141,619,20068
01227,19,202,5221
01228,152,548,25838
01229,129,491,25076
01230,458,2120,53135
01231,754,2233,67614
01233,292,1025,37066
01234,540,1848,60677
01235,676,2065,60104
01236,371,1735,48056
01303,161,599,19982
01304,10,39,3737
01331,20,424,10121
01332,12,331,5897
01333,12,193,5447
01334,18,255,6024
01337,113,946,28424
01343,20,174,4919
01345,120,742,19149
01346,164,503,20131
01347,24,191,7003
01361,38,349,10131
01362,23,278,6417
01363,17,149,4775
01364,11,274,4816
01367,8,64,3643
01370,14,128,6466
01371,28,256,10748
01391,11,39,1996
01392,21,62,3744
01393,7,56,3457
01394,21,116,5802
01395,22,162,4669
01396,8,37,2354
01397,15,35,2165
01398,15,55,2707
01399,20,66,3583
01400,126,492,16176
01401,28,108,7112
01402,66,530,15744
01403,14,47,2185
01404,3,43,1319
01405,12,75,2860
01406,11,100,4021
01407,19,47,3967
01408,115,768,22734
01409,17,27,1310
01423,118,237,9564
01424,36,228,6836
01425,23,316,4770
01427,32,123,6477
01428,107,249,12401
01429,86,352,14352
01430,27,83,4785
01431,23,43,2417
01432,31,140,7684
01433,12,93,3943
01434,7,58,3003
01436,14,48,3316
01437,10,42,2376
01438,18,79,4041
01439,10,38,1952
01452,16,146,7261
01453,45,134,9194
01454,39,185,7473
01455,26,105,4340
01456,9,84,3739
01457,22,103,5176
01458,28,189,7701
01459,63,306,11628
01460,50,230,12352
01461,13,97,5707
01462,5,70,2947
01463,12,30,1819
01464,11,54,4238
01465,14,53,3952
01468,10,121,4146
01469,13,108,5512
01470,0,24,1070
01471,6,36,2106
01481,14,159,5708
01482,15,89,4272
01483,7,143,4202
01484,24,252,8740
01485,10,13,1511
01486,6,59,3421
01487,8,82,4030
01488,8,36,2784
01511,3,28,2940
01512,14,89,4582
01513,2,42,2289
01514,13,119,9815
01516,12,113,4850
01517,2,40,3410
01518,3,80,2951
01519,15,31,3239
01543,82,588,22819
01544,17,106,6222
01545,62,247,13431
01546,18,103,5025
01547,14,99,5753
01549,17,102,5981
01550,8,78,3699
01552,22,76,6393
01555,91,544,23648
01559,38,166,10758
01560,12,38,3366
01561,6,70,4589
01562,3,17,1224
01563,9,87,5507
01564,29,122,8392
01571,16,123,4771
01575,15,64,3473
01578,131,743,20748
01581,21,74,5240
01584,63,291,11343
01585,30,205,9131
01586,45,199,10602
01601,85,300,14730
01602,21,124,6173
01604,25,175,6034
01607,82,323,15698
01608,17,159,5711
01609,26,113,5796
01610,121,919,27265
01631,270,1092,42452
01632,21,105,6755
01633,32,59,5229
01634,12,65,5876
01635,28,130,7243
01636,61,219,10464
01637,112,355,18300
01638,41,67,3983
01639,19,24,3326
01641,19,91,6407
01642,15,202,8325
01643,162,556,26868
01644,34,171,8193
01645,10,53,3732
01646,15,196,9072
01647,23,182,8317
01648,7,52,2956
01649,24,126,6068
01661,298,798,21855
01662,36,183,11525
01663,17,97,7005
01664,21,174,8936
01665,19,204,9023
01667,17,57,2672
01668,46,325,10397
01691,31,193,16460
01692,115,548,23792
01693,10,119,6063
01694,23,88,6540
02201,2771,14561,311508
02202,1655,6455,189043
02203,1854,11418,244700
02204,200,1667,38455
02205,476,3113,62181
02206,439,2416,68359
02207,371,1532,42425
02208,421,3009,64052
02209,179,2248,40091
02210,138,1564,35336
02301,40,541,13483
02303,19,267,3816
02304,7,179,3405
02307,17,412,8215
02321,63,604,12662
02323,26,354,10910
02343,1,45,1597
02361,74,639,16495
02362,40,522,11921
02367,24,366,8541
02381,112,839,16222
02384,61,864,15218
02387,21,1057,14184
02401,77,605,15218
02402,43,777,18471
02405,70,346,10430
02406,18,184,5097
02408,82,772,20016
02411,36,385,11401
02412,178,961,24172
02423,33,336,6212
02424,19,454,8042
02425,7,127,2603
02426,10,189,2843
02441,71,482,12261
02442,84,749,20138
02443,16,198,6883
02445,79,706,21552
02446,90,704,15356
02450,14,74,3143
03201,2961,10230,300746
03202,224,2638,63588
03203,227,1385,43331
03205,668,3238,105028
03206,766,2783,94321
03207,197,1778,39141
03208,78,978,31402
03209,595,3682,125818
03210,113,797,24709
03211,173,1503,42987
03213,139,1130,31477
03214,95,971,31079
03215,763,3584,130171
03301,75,510,19055
03302,8,257,8021
03303,40,473,16254
03305,224,1811,53560
03321,157,980,33692
03322,183,896,27085
03366,12,130,7375
03381,124,415,16396
03402,46,242,8819
03422,26,253,9904
03441,5,250,6848
03461,69,712,16516
03482,92,907,20142
03483,17,384,11914
03484,6,232,4241
03485,4,174,3358
03501,26,346,10997
03503,21,222,5019
03506,18,183,6974
03507,46,1044,19524
03524,38,544,15549
04100,13089,35638,1025098
04202,1915,6314,167324
04203,541,2461,59357
04205,738,3317,78011
04206,380,1264,39492
04207,863,2326,68662
04208,266,904,33199
04209,792,2384,62745
04211,430,1538,43921
04212,669,2943,89316
04213,460,2274,80248
04214,466,1631,43235
04215,1441,4454,138491
04301,140,413,13318
04302,19,34,1871
04321,329,833,23335
04322,118,414,12740
04323,462,1661,39809
04324,51,379,10583
04341,145,401,16792
04361,239,1331,35132
04362,116,604,17713
04401,119,655,16193
04404,79,688,21068
04406,365,929,32257
04421,277,968,24509
